,gcrq,sjxh,cdh,vehicles,velocity
111,2016/5/22,28,32,0.000837646,0.079266765
112,2016/5/22,29,11,0.000701043,0.066533248
113,2016/5/22,29,12,0.001128568,0.065819969
114,2016/5/22,29,31,0.000865854,0.04813711
115,2016/5/22,29,32,0.000814493,0.08490489
116,2016/5/22,30,11,0.000771985,0.066884976
117,2016/5/22,30,12,0.00086468,0.069441816
118,2016/5/22,30,31,0.000983037,0.046028973
119,2016/5/22,30,32,0.000735368,0.075138007
120,2016/5/22,31,11,0.00085799,0.062997074
121,2016/5/22,31,12,0.001161468,0.064944303
122,2016/5/22,31,31,0.00215254,0.047228984
123,2016/5/22,31,32,0.000790075,0.077609279
124,2016/5/22,32,11,0.000818249,0.067477277
125,2016/5/22,32,12,0.000825162,0.065552678
126,2016/5/22,32,31,0.001465355,0.051270936
127,2016/5/22,32,32,0.000777924,0.080619331
128,2016/5/22,33,11,0.000743941,0.062749482
129,2016/5/22,33,12,0.00077799,0.066797059
130,2016/5/22,33,31,0.002199199,0.043726466
131,2016/5/22,33,32,0.000812499,0.083067653
132,2016/5/22,34,11,0.000755655,0.059576089
133,2016/5/22,34,12,0.001245559,0.06530166
134,2016/5/22,34,31,0.001095919,0.040611397
135,2016/5/22,34,32,0.000748403,0.086714713
136,2016/5/22,35,11,0.000794047,0.066808966
137,2016/5/22,35,12,0.001352594,0.063528563
138,2016/5/22,35,31,0.001480381,0.046689157
139,2016/5/22,35,32,0.000778993,0.081206694
140,2016/5/22,36,11,0.000765853,0.057128676
141,2016/5/22,36,12,0.001118843,0.057378264
142,2016/5/22,36,31,0.001702388,0.050262635
143,2016/5/22,36,32,0.000602023,0.075497695
144,2016/5/22,37,11,0.000756994,0.07003399
145,2016/5/22,37,12,0.001185055,0.073925043
146,2016/5/22,37,31,0.001560469,0.051412889
147,2016/5/22,37,32,0.00081079,0.08283661
148,2016/5/22,38,11,0.000800835,0.066354129
149,2016/5/22,38,12,0.001250612,0.071367431
150,2016/5/22,38,31,0.001015499,0.040784954
151,2016/5/22,38,32,0.000600867,0.076142971
152,2016/5/22,39,11,0.000721201,0.060302554
153,2016/5/22,39,12,0.001281107,0.05929207
154,2016/5/22,39,31,0.002337673,0.040990322
155,2016/5/22,39,32,0.000662392,0.074484794
156,2016/5/22,40,11,0.000785895,0.06020509
157,2016/5/22,40,12,0.001055524,0.067899179
158,2016/5/22,40,31,0.002094956,0.049401766
159,2016/5/22,40,32,0.000683822,0.075536869
160,2016/5/22,41,11,0.000610697,0.064034008
161,2016/5/22,41,12,0.000872557,0.063104491
162,2016/5/22,41,31,0.001544449,0.048345036
163,2016/5/22,41,32,0.000688527,0.076644343
164,2016/5/22,42,11,0.001119247,0.067751572
165,2016/5/22,42,12,0.001147084,0.065100684
166,2016/5/22,42,31,0.000929255,0.041626923
167,2016/5/22,42,32,0.000597124,0.078697421
168,2016/5/22,43,11,0.000670872,0.060380003
169,2016/5/22,43,12,0.000855731,0.060599157
170,2016/5/22,43,31,0.000789951,0.040753348
171,2016/5/22,43,32,0.000699366,0.065069092
172,2016/5/22,44,11,0.000710437,0.065981651
173,2016/5/22,44,12,0.000770232,0.059260961
174,2016/5/22,44,31,0.0017052,0.048390481
175,2016/5/22,44,32,0.000694683,0.07557747
176,2016/5/22,45,11,0.000645778,0.063894657
177,2016/5/22,45,12,0.001205672,0.068270527
178,2016/5/22,45,31,0.001381105,0.043049552
179,2016/5/22,45,32,0.000638784,0.068590473
180,2016/5/22,46,11,0.000788757,0.064828846
181,2016/5/22,46,12,0.001552002,0.069471333
182,2016/5/22,46,31,0.000551185,0.038495678
183,2016/5/22,46,32,0.000663115,0.083998975
184,2016/5/22,47,11,0.000800461,0.058085154
185,2016/5/22,47,12,0.001532101,0.064288952
186,2016/5/22,47,31,0.001018368,0.0473147
187,2016/5/22,47,32,0.000720111,0.077293792
188,2016/5/22,48,11,0.000672407,0.067625095
189,2016/5/22,48,12,0.001623878,0.061438311
190,2016/5/22,48,31,0.001366122,0.040807798
191,2016/5/22,48,32,0.000612971,0.074773327
192,2016/5/22,49,11,0,0
193,2016/5/22,49,12,0,0
194,2016/5/22,49,31,0.001380276,0.135509863
195,2016/5/22,49,32,0.000714797,0.188266198
196,2016/5/22,50,11,0,0
197,2016/5/22,50,12,0.001752336,0.051230872
198,2016/5/22,50,31,0.002336449,0.049234864
199,2016/5/22,50,32,0.000443106,0.088036652
200,2016/5/22,51,11,0.000667544,0.064764185
201,2016/5/22,51,12,0.00109887,0.062095127
202,2016/5/22,51,31,0.001080778,0.044268301
203,2016/5/22,51,32,0.000706332,0.080476964
204,2016/5/22,52,11,0.000700065,0.061792299
205,2016/5/22,52,12,0.00093214,0.06770706
206,2016/5/22,52,31,0.00054169,0.039196582
207,2016/5/22,52,32,0.000678703,0.074577897
208,2016/5/22,53,11,0.000727437,0.058585462
209,2016/5/22,53,12,0.0008056,0.064013816
210,2016/5/22,53,31,0.000798625,0.042761472
211,2016/5/22,53,32,0.000658819,0.072716937
212,2016/5/22,54,11,0.000661077,0.05421494
213,2016/5/22,54,12,0.000956697,0.066843032
214,2016/5/22,54,31,0.000656336,0.043916396
215,2016/5/22,54,32,0.000781972,0.077858533
216,2016/5/22,55,11,0.000715104,0.059098005
217,2016/5/22,55,12,0.000944414,0.059030064
218,2016/5/22,55,31,0.000661236,0.037919166
219,2016/5/22,55,32,0.000616917,0.077431335
220,2016/5/22,56,11,0.000740614,0.062833294
221,2016/5/22,56,12,0.000946836,0.05117933
222,2016/5/22,56,31,0.001167205,0.041453899
223,2016/5/22,56,32,0.000648116,0.071455835
224,2016/5/22,57,11,0.000582937,0.063275686
225,2016/5/22,57,12,0.00082296,0.061919547
226,2016/5/22,57,31,0.00073677,0.045858857
227,2016/5/22,57,32,0.00068345,0.076156456
228,2016/5/22,58,11,0,0
229,2016/5/22,58,12,0.001752336,0.051230872
230,2016/5/22,58,31,0.001752336,0.045242848
231,2016/5/22,58,32,0.001406886,0.158160472
232,2016/5/22,59,11,0,0
233,2016/5/22,59,12,0,0
234,2016/5/22,59,31,0.002336449,0.063872255
235,2016/5/22,59,32,0.000595466,0.102876009
236,2016/5/22,60,11,0,0
237,2016/5/22,60,12,0.002336449,0.054557552
238,2016/5/22,60,31,0.003504673,0.050565536
239,2016/5/22,60,32,0.001883022,0.199853564
240,2016/5/22,61,11,0,0
241,2016/5/22,61,12,0.000308577,0.07094317
242,2016/5/22,61,31,0.001752336,0.047238856
243,2016/5/22,61,32,0.000703443,0.141737622
244,2016/5/22,62,11,0,0
245,2016/5/22,62,12,0,0
246,2016/5/22,62,31,0.004088785,0.05655356
247,2016/5/22,62,32,0.001641686,0.148795978
248,2016/5/22,63,11,0.000712179,0.058522467
249,2016/5/22,63,12,0.001024277,0.053660475
250,2016/5/22,63,31,0.00105582,0.040104018
251,2016/5/22,63,32,0.000746935,0.075962151
252,2016/5/22,64,11,0,0
253,2016/5/22,64,12,0.000584112,0.048569528
254,2016/5/22,64,31,0.003017086,0.114974671
255,2016/5/22,64,32,0.002277307,0.208310074
256,2016/5/22,65,11,0,0
257,2016/5/22,65,12,0.002920561,0.049234864
258,2016/5/22,65,31,0.004416364,0.157747379
259,2016/5/22,65,32,0.004145228,0.202085281
260,2016/5/22,66,11,0,0
261,2016/5/22,66,12,0.001168224,0.04324684
262,2016/5/22,66,31,0.001752336,0.047904192
263,2016/5/22,66,32,0.00052497,0.157175207
264,2016/5/22,67,11,0,0
265,2016/5/22,67,12,0.002920561,0.044577512
266,2016/5/22,67,31,0.001752336,0.055888224
267,2016/5/22,67,32,0.000802708,0.135965526
268,2016/5/22,68,11,0,0
269,2016/5/22,68,12,0.002920561,0.045908184
270,2016/5/22,68,31,0.002336449,0.050565536
271,2016/5/22,68,32,0.000242408,0.099558598
272,2016/5/22,69,11,0,0
273,2016/5/22,69,12,0.000584112,0.045242848
274,2016/5/22,69,31,0.002336449,0.045242848
275,2016/5/22,69,32,0.001061378,0.185816463
276,2016/5/22,70,11,0.000765252,0.060557627
277,2016/5/22,70,12,0.001422768,0.053812684
278,2016/5/22,70,31,0.000939325,0.043096948
279,2016/5/22,70,32,0.000559334,0.0668598
280,2016/5/22,71,11,0,0
281,2016/5/22,71,12,0.000584112,0.041250832
282,2016/5/22,71,31,0.001168224,0.050565536
283,2016/5/22,71,32,0.000796164,0.160141763
284,2016/5/22,72,11,0,0
285,2016/5/22,72,12,0.001264749,0.090666851
286,2016/5/22,72,31,0.003504673,0.061210912
287,2016/5/22,72,32,0.001874407,0.098537103
288,2016/5/22,73,11,0.003047083,0.094188804
289,2016/5/22,73,12,0.003047083,0.094188804
290,2016/5/22,73,31,0.003047083,0.094188804
291,2016/5/22,73,32,0.003047083,0.094188804
292,2016/5/22,74,11,0,0
293,2016/5/22,74,12,0,0
294,2016/5/22,74,31,0.002920561,0.055222888
295,2016/5/22,74,32,0.000845482,0.211900986
296,2016/5/22,75,11,0,0
297,2016/5/22,75,12,0.002920561,0.053892216
298,2016/5/22,75,31,0.001752336,0.0499002
299,2016/5/22,75,32,0.001996477,0.116176929
300,2016/5/22,76,11,0.000849366,0.053673512
301,2016/5/22,76,12,0.000990149,0.060914878
302,2016/5/22,76,31,0.000819385,0.045316657
303,2016/5/22,76,32,0.000770604,0.090151864
304,2016/5/22,77,11,0.000730523,0.062404863
305,2016/5/22,77,12,0.001132823,0.065880423
306,2016/5/22,77,31,0.000702474,0.046934469
307,2016/5/22,77,32,0.000695266,0.075122391
308,2016/5/22,78,11,0.000687829,0.054393472
309,2016/5/22,78,12,0.00089921,0.054333854
310,2016/5/22,78,31,0.001012497,0.0541645
311,2016/5/22,78,32,0.000904705,0.079998082
312,2016/5/22,79,11,0.000705885,0.063669416
313,2016/5/22,79,12,0.001250168,0.062928563
314,2016/5/22,79,31,0.001015446,0.040187677
315,2016/5/22,79,32,0.000733055,0.080285769
316,2016/5/22,80,11,0.000841217,0.069381262
317,2016/5/22,80,12,0.001020376,0.071405689
318,2016/5/22,80,31,0.000789409,0.044756399
319,2016/5/22,80,32,0.000769606,0.081068127
320,2016/5/22,81,11,0,0
321,2016/5/22,81,12,0.001752336,0.040585496
322,2016/5/22,81,31,0.002336449,0.060545576
323,2016/5/22,81,32,0.001213255,0.157402495
324,2016/5/22,82,11,0,0
325,2016/5/22,82,12,0.002432974,0.109510352
326,2016/5/22,82,31,0.000584112,0.065868263
327,2016/5/22,82,32,0.001405821,0.166485594
328,2016/5/22,83,11,0,0
329,2016/5/22,83,12,0,0
330,2016/5/22,83,31,0.001752336,0.049234864
331,2016/5/22,83,32,0.000263103,0.159983724
332,2016/5/22,84,11,0.003047083,0.094188804
